,startBlock,endBlock,badOperatorCount,badContractCount
165,4084706,4085706,0,0
166,4085706,4086706,0,0
167,4086706,4087706,0,0
168,4087706,4088706,0,0
169,4088706,4089706,0,0
170,4089706,4090706,0,0
171,4090706,4091706,0,0
172,4091706,4092706,0,0
173,4092706,4093706,0,0
174,4093706,4094706,0,0
175,4094706,4095706,0,0
176,4095706,4096706,0,0
177,4096706,4097706,0,0
178,4097706,4098706,0,0
179,4098706,4099706,0,0
180,4099706,4100706,0,0
181,4100706,4101706,0,0
182,4101706,4102706,0,0
183,4102706,4103706,0,0
184,4103706,4104706,0,0
185,4104706,4105706,0,0
186,4105706,4106706,0,0
187,4106706,4107706,0,0
188,4107706,4108706,0,0
189,4108706,4109706,0,0
190,4109706,4110706,0,0
191,4110706,4111706,0,0
192,4111706,4112706,0,0
193,4112706,4113706,0,0
194,4113706,4114706,0,0
195,4114706,4115706,0,0
196,4115706,4116706,0,0
197,4116706,4117706,0,0
198,4117706,4118706,0,0
199,4118706,4119706,0,0
200,4119706,4120706,0,0
201,4120706,4121706,0,0
202,4121706,4122706,0,0
203,4122706,4123706,0,0
204,4123706,4124706,0,0
205,4124706,4125706,0,0
206,4125706,4126706,0,0
207,4126706,4127706,0,0
208,4127706,4128706,0,0
209,4128706,4129706,0,0
210,4129706,4130706,0,0
211,4130706,4131706,0,0
212,4131706,4132706,0,0
213,4132706,4133706,0,0
214,4133706,4134706,0,0
215,4134706,4135706,0,0
216,4135706,4136706,0,0
217,4136706,4137706,0,0
218,4137706,4138706,0,0
219,4138706,4139706,0,0
220,4139706,4140706,0,0
221,4140706,4141706,0,0
222,4141706,4142706,0,0
223,4142706,4143706,0,0
224,4143706,4144706,0,0
225,4144706,4145706,0,0
226,4145706,4146706,0,0
227,4146706,4147706,0,0
228,4147706,4148706,0,0
229,4148706,4149706,0,0
230,4149706,4150706,0,0
231,4150706,4151706,0,0
232,4151706,4152706,0,0
233,4152706,4153706,0,0
234,4153706,4154706,0,0
235,4154706,4155706,0,0
236,4155706,4156706,0,0
237,4156706,4157706,0,0
238,4157706,4158706,0,0
239,4158706,4159706,0,0
240,4159706,4160706,0,0
241,4160706,4161706,0,0
242,4161706,4162706,0,0
243,4162706,4163706,0,0
244,4163706,4164706,0,0
245,4164706,4165706,0,0
246,4165706,4166706,0,0
247,4166706,4167706,0,0
248,4167706,4168706,0,0
249,4168706,4169706,0,0
250,4169706,4170706,0,0
251,4170706,4171706,0,0
252,4171706,4172706,0,0
253,4172706,4173706,0,0
254,4173706,4174706,0,0
255,4174706,4175706,0,0
256,4175706,4176706,0,0
257,4176706,4177706,0,0
258,4177706,4178706,0,0
259,4178706,4179706,0,0
260,4179706,4180706,0,0
261,4180706,4181706,0,0
262,4181706,4182706,0,0
263,4182706,4183706,0,0
264,4183706,4184706,0,0
265,4184706,4185706,0,0
266,4185706,4186706,0,0
267,4186706,4187706,0,0
268,4187706,4188706,0,0
269,4188706,4189706,0,0
270,4189706,4190706,0,0
271,4190706,4191706,0,0
272,4191706,4192706,0,0
273,4192706,4193706,0,0
274,4193706,4194706,0,0
275,4194706,4195706,0,0
276,4195706,4196706,0,0
277,4196706,4197706,0,0
278,4197706,4198706,0,0
279,4198706,4199706,0,0
280,4199706,4200706,0,0
281,4200706,4201706,0,0
282,4201706,4202706,0,0
283,4202706,4203706,0,0
284,4203706,4204706,0,0
285,4204706,4205706,0,0
286,4205706,4206706,0,0
287,4206706,4207706,0,0
288,4207706,4208706,0,0
289,4208706,4209706,0,0
290,4209706,4210706,0,0
291,4210706,4211706,0,0
292,4211706,4212706,0,0
293,4212706,4213706,0,0
294,4213706,4214706,0,0
295,4214706,4215706,0,0
296,4215706,4216706,0,0
297,4216706,4217706,0,0
298,4217706,4218706,0,0
299,4218706,4219706,0,0
300,4219706,4220706,0,0
301,4220706,4221706,0,0
302,4221706,4222706,0,0
303,4222706,4223706,0,0
304,4223706,4224706,0,0
305,4224706,4225706,0,0
306,4225706,4226706,0,0
307,4226706,4227706,0,0
308,4227706,4228706,0,0
309,4228706,4229706,0,0
310,4229706,4230706,0,0
311,4230706,4231706,0,0
312,4231706,4232706,0,0
313,4232706,4233706,0,0
314,4233706,4234706,0,0
315,4234706,4235706,0,0
316,4235706,4236706,0,0
317,4236706,4237706,0,0
318,4237706,4238706,0,0
319,4238706,4239706,0,0
320,4239706,4240706,0,0
321,4240706,4241706,0,0
322,4241706,4242706,0,0
323,4242706,4243706,0,0
324,4243706,4244706,0,0
325,4244706,4245706,0,0
326,4245706,4246706,0,0
327,4246706,4247706,0,0
328,4247706,4248706,0,0
329,4248706,4249706,0,0
330,4249706,4250706,0,0
331,4250706,4251706,0,0
332,4251706,4252706,0,0
333,4252706,4253706,0,0
334,4253706,4254706,0,0
335,4254706,4255706,0,0
336,4255706,4256706,0,0
337,4256706,4257706,0,0
338,4257706,4258706,0,0
339,4258706,4259706,0,0
340,4259706,4260706,0,0
341,4260706,4261706,0,0
342,4261706,4262706,0,0
343,4262706,4263706,0,0
344,4263706,4264706,0,0
345,4264706,4265706,0,0
346,4265706,4266706,0,0
347,4266706,4267706,0,0
348,4267706,4268706,0,0
349,4268706,4269706,0,0
350,4269706,4270706,0,0
351,4270706,4271706,0,0
352,4271706,4272706,0,0
353,4272706,4273706,0,0
354,4273706,4274706,0,0
355,4274706,4275706,0,0
356,4275706,4276706,0,0
357,4276706,4277706,0,0
358,4277706,4278706,0,0
