Design	to	image	projectLogo	id	date	collectionAddress	createdBy	media	background_color	Marketing	project	addresses	image_ipfs	yearCreated	attributes	google_image	home_url	collection_name	owner	artDesc	values	sealed	totalValue	tokenId	artist	Development	collection	transparent_image	live	fee_recipient	ipfs_image	website	youtube_url	high_quality_image	name	external_url	platform	hash	dynamic	compiler	thumbnail_url	maxTokens	private	probability	network	dropVersion	tokenHash	claimedBy	signature	seller_fee_basis_points	edition	dapp	is_dynamic	origDescription	tags	token_id	rewrites	state	nonce	transparent_animation_url	dailyYield	description	success	imageHash	image_url	ipfs	image_medium	curation_status	year	rarity	status	dna	transparent_staked_url	license	image_small	animation_url	image_large	ownedImage
		https://gateway.pinata.cloud/ipfs/QmW4GGvD8XSKwBvmGq8iXTsgr88jjpJPft2waZtHg7sej6													trait_type,value									1024			0xA2480eB41Dd1F2B0aBADe9f305826C544d47f696								Frog #1024	https://www.infinityfrogs.com																										Leap towar																
		https://mint.pigskinapes.com/api/images/1004.png													trait_type,value												0x58D871d9a1b8551b7A852E0B2641FFf7D3a8D606								Pigskin Ape #1004																																											
		https://mint.pigskinapes.com/api/images/1005.png													trait_type,value												0x58D871d9a1b8551b7A852E0B2641FFf7D3a8D606								Pigskin Ape #1005																																											
		https://mint.pigskinapes.com/api/images/1008.png													trait_type,value												0x58D871d9a1b8551b7A852E0B2641FFf7D3a8D606								Pigskin Ape #1008																																											
		ipfs://QmTd6MyZSxT1VQ3TVnvBNamEEhJjwvm62Y1nxGKs5HrRsn													trait_type,value,display_type												0xEf0182dc0574cd5874494a120750FD222FdB909a								Kong #10																											Rumble Kon																
		ipfs://QmWe8QP1nmUNqeeehuF6YpwQmMHNwACNMynxa5m9Am4h84													trait_type,value,display_type												0xEf0182dc0574cd5874494a120750FD222FdB909a								Kong #101																											Rumble Kon																
		ipfs://QmecJy5wZ7cLMRZFUF2tonCCQVTQ5VPzfriCH1Xbd3QVop													trait_type,value,display_type												0xEf0182dc0574cd5874494a120750FD222FdB909a								Kong #1010																											Rumble Kon																
		https://nftartisans.mypinata.cloud/ipfs/QmVAKDV8aYuyJTcFsupbjMZpkz5vwyEVF4DUAetMf9YjYR/1015.png													trait_type,value												0xEd6C62794e4Ed3deC82D00c7cA58AE9512B13eb1								2+2 #1015																											2+2 is the																
		https://nftartisans.mypinata.cloud/ipfs/QmVAKDV8aYuyJTcFsupbjMZpkz5vwyEVF4DUAetMf9YjYR/1017.png													trait_type,value												0xEd6C62794e4Ed3deC82D00c7cA58AE9512B13eb1								2+2 #1017																											2+2 is the																
		https://nftartisans.mypinata.cloud/ipfs/QmVAKDV8aYuyJTcFsupbjMZpkz5vwyEVF4DUAetMf9YjYR/1018.png													trait_type,value												0xEd6C62794e4Ed3deC82D00c7cA58AE9512B13eb1								2+2 #1018																											2+2 is the																
